name;substance_type;CAS_nb;SMILES;detected
benzo(b)fluoranthene;PAH;205-99-2;C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1;0
ciprofloxacin;PPCP;85721-33-1;C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O;0
nonylphenol;PPCP;25154-52-3;CCCCCCCCCC1=CC=CC=C1O;0
ofloxacin;PPCP;82419-36-1;CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O;0
tramadol;PPCP;27203-92-5;CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O;0
chloroacetic acid;solvent;79-11-8;C(C(=O)O)Cl;0
DMSO;solvent;67-68-5;CS(=O)C;0
methanol;solvent;67-56-1;CO;0
butyltinTrichloride;other;1118-46-3;CCCC[Sn](Cl)(Cl)Cl;0
MHPC724;other;NA;NA;0
P520;other;NA;NA;0
