"","bspline_1_1","bspline_2_1","bspline_3_1","bspline_4_1","bspline_5_1","bspline_6_1","bspline_7_1","bspline_8_1","bspline_9_1","bspline_1_2","bspline_2_2","bspline_3_2","bspline_4_2","bspline_5_2","bspline_6_2","bspline_7_2","bspline_8_2","bspline_9_2","bspline_1_3","bspline_2_3","bspline_3_3","bspline_4_3","bspline_5_3","bspline_6_3","bspline_7_3","bspline_8_3","bspline_9_3"
"1-2Dichloroethane0",0.042859950206979,0.310416980887883,0.514033048766382,0.621737804836077,0.0343168263217927,-0.312161630763593,-0.161778078245258,-0.618117742076848,-0.696115171385618,0.319171851112785,0.56299169155646,0.543240083536789,0.561443430722969,0.569568251540181,0.50458025640626,0.138520962147033,0.381017166455848,0.254651357413548,0.174213351882003,-0.290967797365678,0.457663353236451,-0.636516655956435,-0.610191538331985,-1.01225828635474,-0.720259341064218,-1.04902796643021,-0.860928112948892
"1-2Dichloroethane1",0.0064556397756104,0.392517600240028,0.829918971122078,0.269480112960332,0.546682925565562,0.249315169043551,-0.633738104710498,0.469270726142937,-0.338246072263911,-0.0157996724450974,0.691449264719943,0.543768351702002,0.468905055661045,0.165085084186283,0.170109719803944,-0.0287324564446578,0.087622443651282,0.0469159404190385,-0.0338080387733257,0.057187989993633,-0.0933853919006657,0.1427614342974,-0.803631030815595,-0.638739310157852,-0.680812424675976,-0.432069494022474,-0.611039981644253
"1-2Dichloroethane2",0.327938157980954,-0.264645133717562,0.484513737741479,0.023518088522684,0.0432431614519545,0.119166320771748,0.0882769397867407,0.0231242212402489,0.0227816303747945,0.354224105721273,0.960026416801141,0.238813794167889,0.572792840429243,0.348070310727021,0.802062116735565,-0.442130396498675,-0.278831930864337,-0.342825077993475,0.150049445582541,-0.239516349454831,0.327802520537494,-0.311698492128032,-0.767715643951837,-0.787530033275143,-0.452401110232888,-0.770545782703064,-0.356287780089978
"1-chlorodecane0",-0.0012663269082302,0.0212297344488871,-0.0143353313991194,0.0355292602886218,0.015667741559506,0.0116948308755646,0.0606068544011266,0.070957248573666,0.0206552934475203,0.00712506799058949,-0.00977619788024,-0.00201311704873594,0.148825965142675,0.0403903993236592,-0.0116773416755821,0.0405627615972552,0.148953361412198,0.0222860391832614,0,0,0,0,0,0,0,0,0
"4-octylphenol0",0.191932261457496,-0.285599292711028,0.468840362857609,-0.461324266669494,2.32348310921153,0.614176484957933,1.7872151736365,-0.477825081295552,0.949290566576122,-0.0546228864089361,0.128603582569797,0.677024570838962,1.19073801338781,1.18240122681033,1.07697561287205,2.1633645379887,1.57993388553816,1.7966292351398,0.0861667800509095,-0.13326610060083,0.158973552644836,-0.0309293135553969,0.115632488138113,0.322951750773341,0.117061066265686,0.912526483101566,0.400061044009012
"4-octylphenol1",0.191932261457496,-0.285599292711028,0.468840362857609,-0.461324266669494,2.32348310921153,0.614176484957933,1.7872151736365,-0.477825081295552,0.949290566576122,0.0684985358179632,0.487233690282804,0.801732493929232,1.08435265086778,1.09520317545783,0.757046407943375,2.0802615323979,1.29349582585441,1.13125647469704,0.0464723011432119,-0.0980460063917449,0.204156631619006,0.270479648084698,0.423434660001374,0.586502351324112,1.3926613782893,0.570198885497368,0.912969638399406
"124-Trichlorobenzene0",0.00800131223498315,0.00487914138003046,0.0135043986747527,0.0134059151137524,0.000411871150530067,0.0421897390539477,-0.0186243209177321,0.00454598014868805,0.00115818277533759,0.0820340491405831,0.174961427051145,0.225297334117656,-0.00753640629031964,-0.0385532678057066,0.0887274592223119,0.0138141493700658,-0.0242175054831331,0.0109431547272438,0.00238986780419667,-0.00385704134089561,0.00548228269706108,-0.00599913936619825,0.0120154101629127,-0.0270340341088392,0.0695735865729799,0.131426490770507,-0.00783736271014523
"124-Trichlorobenzene1",0.0150202732204069,0.0208173917050346,0.0415044429503349,0.0180178136087817,0.0556598029848504,-0.0632748581652701,0.041624248209515,0.0182982484874429,0.00452703203978767,-0.111421367589948,0.782535836027677,0.0974084574108835,0.191259013096919,0.000888911560971671,0.0140444255887452,-0.0117128207748731,0.00711588999615799,-0.00263153626511566,0.167173611731521,0.0309927506771439,-0.0185358700585809,0.0197348371938086,0.00239218370936623,-0.0412704129490879,0.195565456288832,-0.090925733000979,0.209472726948229
"A7360",-0.00835876257375059,0.0129428212603691,-0.0122405416327267,0.038320674980175,0.00236032880280727,0.00140728306852496,-0.0522923262514227,-0.0168930498081808,0.00027658204797386,0.048967055876076,0.150572798169336,0.0261741189261544,-0.039314647041213,0.195289668949155,-0.0710544959177114,0.0444508634100542,-0.0239921164439973,0.00847712750084139,-0.00151437259243641,0.0024371770018185,-0.00343237610634048,0.00364961590359653,-0.00597255151666747,0.00468230542582925,0.0276214332192097,-0.020727464643997,0.00807500527407578
"A7361",0.0047421902313867,-0.00561203076444989,0.00897174135506758,0.00146542134569099,-0.000951602361094653,-0.00675332223012783,0.0646195561768054,-0.0343015551114359,0.0163372352832135,0.138835441310494,0.33605555824862,0.175446098370956,-0.0263231347664854,0.0144714730798949,0.012535647522663,-0.010142154735986,0.00605864836387983,-0.00222530833399645,0,0,0,0,0,0,0,0,0
