,fPC1,fPC2,fPC3,fPC4,sub_full,y,Repetition
0,-15.511229372689419,-7.464525895381435,-11.97016811150867,-0.3788097665385713,1-2Dichloroethane,3,1-2Dichloroethane0
1,-9.971800029924754,-7.86861127279017,-11.892268169163504,-0.06663820116831352,1-2Dichloroethane,3,1-2Dichloroethane1
2,2.546133813351662,-12.323048511392752,-6.262961883332477,-1.7690553513682596,1-2Dichloroethane,3,1-2Dichloroethane2
3,2.462757954355157,0.7461032377404557,0.31160732653618595,2.997403997114275,1-chlorodecane,3,1-chlorodecane0
4,-0.7050211653036568,-0.3262153596176925,-0.2114394127313264,0.6478216829508534,2A1,3,2A10
5,3.358975618582299,-7.348233343956866,2.4421910374855336,-4.181720362432731,2A1,3,2A11
6,7.157891199904143,18.00472141521867,-12.270004558962736,-2.117563471863272,4-octylphenol,1,4-octylphenol0
7,8.13155442394475,18.360443697194096,-8.761003268329246,-3.573749722653864,4-octylphenol,1,4-octylphenol1
8,2.6415371036559834,2.2768697891783383,6.363189411750296,2.5898159249736166,124-Trichlorobenzene,3,124-Trichlorobenzene0
9,2.280881564555075,0.14969588821375934,1.0988559941524607,2.443810451149081,124-Trichlorobenzene,3,124-Trichlorobenzene1
10,1.4910090186026643,-0.09931004741401578,0.7031016839355914,2.7210570187575036,A736,4,A7360
11,2.8549919732095206,-1.2064698738512487,1.0075695753455938,0.6747720765518502,A736,4,A7361
12,2.1239800246574445,-0.26593830126784945,1.0055568822727134,2.57143136994724,A736,4,A7362
13,2.166027146824125,-0.11087320958377964,0.06589467612789014,2.65347513423019,Acetone,3,Acetone0
14,2.3018689826367265,1.735916535098914,1.4196081940963354,1.0327820054271262,Acide Acrylique,3,Acide Acrylique0
15,2.655987493783807,2.9587459784722405,-0.6663759119575053,-0.7743169241798779,Acide Acrylique,3,Acide Acrylique1
16,-1.4829811937964132,-1.3302020446194696,1.2882976222571831,0.259276386169621,Acide Acrylique,3,Acide Acrylique2
17,-2.241326075240151,-1.2988588465733282,0.09137266295785614,-4.466030897032017,alphaEndosulfan,2,alphaEndosulfan0
18,-5.493122263173814,-0.623601244975476,-0.7371977618497674,0.08008943631146599,alphaEndosulfan,2,alphaEndosulfan1
19,-1.7084413967784602,0.268667989034821,-1.094323312981226,-2.053636031874135,alphaEndosulfan,2,alphaEndosulfan2
20,3.576563359393981,3.790919906378076,5.1891864161204415,0.51407760982595,Anthracene,5,Anthracene0
21,2.8228461783236325,1.004347301506663,1.316016215061842,2.21528277089696,Anthracene,5,Anthracene1
