,1-2Dichloroethane0,1-2Dichloroethane1,1-2Dichloroethane2,1-chlorodecane0,2A10,2A11,4-octylphenol0,4-octylphenol1,124-Trichlorobenzene0,124-Trichlorobenzene1,A7360,A7361,A7362,Acetone0,Acide Acrylique0,Acide Acrylique1,Acide Acrylique2,alphaEndosulfan0,alphaEndosulfan1,alphaEndosulfan2,Anthracene0,Anthracene1,Benzene0,Benzo(a)pyrene0,Benzo(a)pyrene1,betaEndosulfan0,betaEndosulfan1,betaEndosulfan2,Biphenyl0,Carbaryl0,Carbaryl1,Chlorothanolil0,Chlorothanolil1,Chlorothanolil2,Chlorpyrifos0,Chlorpyrifos1,Cypermethrine0,Cypermethrine1,DDD(2-4)0,DDD(2-4)1,DDD(2-4)2,Dicofol0,Dicofol1,Dieldrin0,Dieldrin1,H400,H401,H402,Hydrazine0,Hydrazine1,Ibuprofen0,Isodrin0,Isodrin1,L10000,L10001,Lindane0,Methomyl0,Methomyl1,Methomyl2,Methomyl3,Methomyl4,Methomyl5,Methomyl6,Nitric Acid0,Pentachlorophenol0,Pentachlorophenol1,PiperonylButoxide0,PiperonylButoxide1,Quinoxyfen0,Quinoxyfen1,Quinoxyfen2,Tebufenozide0,Tebufenozide1,Tetrachloroethylene0,Tetrachloroethylene1,Trichlorobenzene(123)0,Trichlorobenzene(123)1,Trichlorobenzene(123)2,Trichlorobenzene(123)3,Trichloroethylene0,Trichloroethylene1,Trichloroethylene2,Trifluralin0,Trifluralin1,Trifluralin2,Trifluralin3,Verapamil0,Verapamil1,Verapamil2
0,0.0,0.0,0.0,0.0,-0.1228191005553193,-0.1228191005553193,0.0,0.0,0.0,0.0862932974313716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0984599768125148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4693303257545075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2283329788427712,0.1158968221791359,0.5845617565717134,0.0,0.0932819753960888,0.0,0.3953461988531366,0.0,0.0,0.0,0.1769295070321292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417354890103688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0439269373972192,0.0664263554941251,0.0,0.0,0.0,0.077991634941063,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,-0.1567408464793807,-0.1567408464793807,0.0,0.0,0.0,0.1336910880524355,0.0,0.0,-0.0916516172988308,0.0,0.0,0.0,0.0,0.0,-0.1755422300486558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4657083738675648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736297213175598,0.0934764037953294,0.6031916323733442,0.0,0.0961440524468296,0.0,0.3707398197611103,0.0,0.0,0.0,0.1405272700969121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723947763677687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1251966098906944,0.0,0.0,-0.080931129673438,0.074111030994858,-0.0680495022952129,0.0,0.0,0.0781980174850093,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,-0.1816439976747092,-0.1816439976747092,0.0,0.0,0.0,0.1090555407825927,0.0,0.0,-0.1269619346799904,0.0,0.0,0.0,0.0,0.0,-0.2337291318144913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4517282614687715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3477131183753138,0.0781756636684485,0.6114334012651598,0.0,0.104063513078748,0.0,0.3470134130911209,0.0,-0.0485581106607972,0.0,0.1021097950082859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3577211446143218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2056000644792659,0.0,0.0,-0.1170950815762896,0.0699397190115873,-0.1123981944992777,0.0,0.0,0.078808299938344,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,-0.194093167078674,-0.194093167078674,0.0,0.0,0.0,0.0832401408073459,0.0,0.0,-0.1358348889048401,0.0,0.0,0.0,0.0,0.0,-0.2823193770803465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4386779508788999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426538391562099,0.0682585117697963,0.5620110774784147,0.0,0.1064088421184179,0.0,0.3372263469297323,0.0,-0.0973188672343888,0.0,0.0780488417458368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3581582267496416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2362778264232348,0.0,0.0,-0.1545463354475638,0.0640952531203929,-0.1411213416830016,0.0,0.0,0.0796971521553506,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,-0.1816645405078568,-0.1816645405078568,0.0,0.0,0.0,0.0,0.0,0.0,-0.1421923598864348,0.0,0.0,0.0701974784852204,0.0,0.0,-0.315596829955221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211786278635741,0.0,0.0,0.0652566683182514,0.0,0.0,0.0,0.0,0.0,0.5007834996620946,0.0,0.5228166746279846,0.0,0.119420492952432,0.0,0.3381125163438172,0.0,-0.1187201900376209,-0.1589429422430046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3475285991315217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.220678346776827,0.0,0.0,-0.1975919977016479,0.0691766983542034,-0.1659443827465851,0.0,0.0,0.0763798286269129,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-0.1684296637263154,-0.1684296637263154,0.0,0.0,0.0,0.0,0.0,0.0,-0.1245301258564979,0.0,0.0,0.0695633238068246,0.0,0.0,-0.3352972356547553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4012237805145779,0.0,0.0,0.0736235042693798,0.0,0.0,0.0,0.0,0.0,0.5588196788361964,0.0,0.4825058016734097,0.0,0.118205712760276,0.0,0.3416665069569852,0.0,-0.1217319924491563,-0.2607293635781623,0.0710420958463754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3450893030587177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1862365451098876,0.0,0.0,-0.2438206876995325,0.0709660012442979,-0.1850410880788459,0.0,0.0,0.0807678877055896,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,-0.1459227103596989,-0.1459227103596989,0.0,0.0799431982899207,0.0,0.0,0.0,0.0,-0.1115882681385125,0.0,0.0,0.0619783762764198,0.0,0.0,-0.3527701395898975,0.0,0.0,0.0,-0.048755626390505,0.0,0.0,0.0,0.0,0.0,0.0,0.3790769679937704,0.0,0.0,0.0795996770213505,0.0,0.0,0.0,0.0,0.0,0.6036876997102003,0.0,0.4510737808293115,0.0,0.1015107683398453,0.0,0.3624288032002278,0.0,-0.1167821260144823,-0.3455784306311261,0.1021684087072087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319231543039952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1373620289880115,0.0,0.0,-0.2987132282236321,0.0931879326478349,-0.1864594887321549,0.0,0.0,0.0806955133117683,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,-0.1234210131242543,-0.1234210131242543,0.0,0.0948544094881462,0.0,0.0,0.0,0.0,-0.0952694466588991,0.0,0.0,0.0,0.0,0.0,-0.3583660112494529,0.0,0.0,0.0821854541756704,-0.043649029560493,0.0,0.0,0.0,0.0,0.0,0.0,0.3497244013228,0.0,0.0,0.0767690427240572,0.0,0.0,0.0,0.0,-0.0857543475252165,0.6289202063078205,0.0,0.4276123009201709,0.0,0.085929372043629,0.0,0.3822259305975411,0.0,-0.0972893046105226,-0.4126652395185776,0.1325191038112348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853419977134013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0799401256244868,0.0,0.0,-0.3465983501050638,0.0926086096785381,-0.1924000547010727,0.0,0.0,0.0774464656532223,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,-0.0914530258270388,-0.0914530258270388,0.0,0.1082698072963548,0.0,0.0,0.0,0.0,-0.091631272655515,0.0,0.0,0.0,0.0,0.0,-0.3576354399267059,0.0,0.0,0.1061482049556139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3232420770324854,0.0,0.0,0.0,0.0,0.0,-0.0649848496885812,0.0,-0.1341897064650215,0.6426838513341826,0.0,0.410627097498204,0.0,0.0904961335796196,0.0,0.4001827073261799,0.0,-0.0768134300629469,-0.4426818218782133,0.1710485646357544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2533870251163794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3937429065454564,0.101878951607835,-0.200280079841469,0.0,0.0,0.0715517045351534,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,-0.0623261367260154,-0.0623261367260154,0.0,0.1258716250136742,0.0,0.0,0.0,0.0,-0.0883065430177978,0.0,0.0,0.0,0.0,0.0,-0.3464678615070166,0.0,0.0,0.1273688496457677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301131248470513,0.0,0.0,0.0,0.0,0.0,-0.110324594389354,0.0,-0.1760688125974891,0.6296355241167226,0.0,0.4045847232351707,0.0,0.1032246491263465,0.0,0.3637336729143439,0.0,-0.0576750283306273,-0.4601505554040065,0.2119899065838474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0624510355440476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2433957979458663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4324085323994638,0.1160954775492688,-0.2057267561922654,0.0,0.0,0.06365125023292,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,-0.0464171965904634,-0.0464171965904634,0.0,0.145801530992613,0.0,0.0,0.0,0.0,-0.0970928795767742,0.0,0.0,0.0,0.0,0.0,-0.3328516021448736,0.0,0.0,0.1332127159103196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2880797965494207,0.0,0.0,0.0,0.0,0.0,-0.1453442427900568,0.0,-0.196052523252756,0.6566045826344755,0.0,0.4054183594726641,0.0,-0.067679116647523,0.0,0.369314400163935,0.0,0.0849799763835942,-0.4595418084562825,0.2507153237079009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2393945863204504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4572839280336965,0.1250823178027652,-0.2259380775364509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1659724993516838,0.0,0.0,0.0,0.0,-0.1186678250929294,0.0,0.0,0.0,0.0,0.0,-0.3206856043178027,0.0,0.0,0.1226432797436022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2854188650011385,0.0,-0.0532413699782775,0.0,0.0,0.0,-0.1679187966053804,0.0,-0.1991803827569074,0.7133984062873223,0.0,0.455719385980685,0.0625083910478884,-0.1005606100978354,0.0,0.3812124986904551,0.0,0.1013668941945145,-0.4512696929182451,0.2797089783960308,0.0,0.0,0.0,0.0,0.0,0.0854907747079884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2505360757875096,0.0,0.0751570038819061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4724694595517461,0.1286593184784527,-0.2560170782585562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
